player_name,sticker,team,code_prefix,code_number,source_line
Mateusz Klich,POL12,Poland,POL,12,POL12 Mateusz Klich - Poland
Grzegorz Krychowiak,POL13,Poland,POL,13,POL13 Grzegorz Krychowiak - Poland
Jakub Moder,POL14,Poland,POL,14,POL14 Jakub Moder - Poland
Sebastian Szymański,POL15,Poland,POL,15,POL15 Sebastian Szymański - Poland
Piotr Zieliński,POL16,Poland,POL,16,POL16 Piotr Zieliński - Poland
Robert Lewandowski,POL17,Poland,POL,17,POL17 Robert Lewandowski - Poland
Arkadiusz Milik,POL18,Poland,POL,18,POL18 Arkadiusz Milik - Poland
Krzysztof Piątek,POL19,Poland,POL,19,POL19 Krzysztof Piątek - Poland
Karol Świderski,POL20,Poland,POL,20,POL20 Karol Świderski - Poland
Diogo Costa,POR3,Portugal,POR,3,POR3 Diogo Costa - Portugal
Rui Patrício,POR4,Portugal,POR,4,POR4 Rui Patrício - Portugal
João Cancelo,POR5,Portugal,POR,5,POR5 João Cancelo - Portugal
José Fonte,POR6,Portugal,POR,6,POR6 José Fonte - Portugal
Nuno Mendes,POR7,Portugal,POR,7,POR7 Nuno Mendes - Portugal
Pepe,POR8,Portugal,POR,8,POR8 Pepe - Portugal
Raphaël Guerreiro,POR9,Portugal,POR,9,POR9 Raphaël Guerreiro - Portugal
Rúben Dias,POR10,Portugal,POR,10,POR10 Rúben Dias - Portugal
Bernardo Silva,POR11,Portugal,POR,11,POR11 Bernardo Silva - Portugal
Bruno Fernandes,POR12,Portugal,POR,12,POR12 Bruno Fernandes - Portugal
Danilo Pereira,POR13,Portugal,POR,13,POR13 Danilo Pereira - Portugal
João Moutinho,POR14,Portugal,POR,14,POR14 João Moutinho - Portugal
Renato Sanches,POR15,Portugal,POR,15,POR15 Renato Sanches - Portugal
Rúben Neves,POR16,Portugal,POR,16,POR16 Rúben Neves - Portugal
André Silva,POR17,Portugal,POR,17,POR17 André Silva - Portugal
Cristiano Ronaldo,POR18,Portugal,POR,18,POR18 Cristiano Ronaldo - Portugal
Diogo Jota,POR19,Portugal,POR,19,POR19 Diogo Jota - Portugal
Gonçalo Guedes,POR20,Portugal,POR,20,POR20 Gonçalo Guedes - Portugal
Saad Al Sheeb,QAT3,Qatar,QAT,3,QAT3 Saad Al Sheeb - Qatar
Meshaal Barsham,QAT4,Qatar,QAT,4,QAT4 Meshaal Barsham - Qatar
Homam Ahmed,QAT5,Qatar,QAT,5,QAT5 Homam Ahmed - Qatar
Bassam Alrawi,QAT6,Qatar,QAT,6,QAT6 Bassam Alrawi - Qatar
Abdulkarim Hassan,QAT7,Qatar,QAT,7,QAT7 Abdulkarim Hassan - Qatar
Musaab Khidir,QAT8,Qatar,QAT,8,QAT8 Musaab Khidir - Qatar
Boualem Khoukhi,QAT9,Qatar,QAT,9,QAT9 Boualem Khoukhi - Qatar
Pedro Miguel,QAT10,Qatar,QAT,10,QAT10 Pedro Miguel - Qatar
Tarek Salman,QAT11,Qatar,QAT,11,QAT11 Tarek Salman - Qatar
Karim Boudiaf,QAT12,Qatar,QAT,12,QAT12 Karim Boudiaf - Qatar
Abdulaziz Hatem,QAT13,Qatar,QAT,13,QAT13 Abdulaziz Hatem - Qatar
Assim Omer Madibo,QAT14,Qatar,QAT,14,QAT14 Assim Omer Madibo - Qatar
Yousuf Abdurisag,QAT15,Qatar,QAT,15,QAT15 Yousuf Abdurisag - Qatar
Akram Hassan Afif,QAT16,Qatar,QAT,16,QAT16 Akram Hassan Afif - Qatar
Ahmad Alaaeldin,QAT17,Qatar,QAT,17,QAT17 Ahmad Alaaeldin - Qatar
Hasan Al-Haydos,QAT18,Qatar,QAT,18,QAT18 Hasan Al-Haydos - Qatar
Almoez Ali,QAT19,Qatar,QAT,19,QAT19 Almoez Ali - Qatar
Mohammed Muntari,QAT20,Qatar,QAT,20,QAT20 Mohammed Muntari - Qatar
Édouard Mendy,SEN3,Senegal,SEN,3,SEN3 Édouard Mendy - Senegal
Alfred Gomis,SEN4,Senegal,SEN,4,SEN4 Alfred Gomis - Senegal
Saliou Ciss,SEN5,Senegal,SEN,5,SEN5 Saliou Ciss - Senegal
Pape Abou Cissé,SEN6,Senegal,SEN,6,SEN6 Pape Abou Cissé - Senegal
Abdou Diallo,SEN7,Senegal,SEN,7,SEN7 Abdou Diallo - Senegal
Kalidou Koulibaly,SEN8,Senegal,SEN,8,SEN8 Kalidou Koulibaly - Senegal
Ibrahima Mbaye,SEN9,Senegal,SEN,9,SEN9 Ibrahima Mbaye - Senegal
Bouna Sarr,SEN10,Senegal,SEN,10,SEN10 Bouna Sarr - Senegal
Krépin Diatta,SEN11,Senegal,SEN,11,SEN11 Krépin Diatta - Senegal
Idrissa Gueye,SEN12,Senegal,SEN,12,SEN12 Idrissa Gueye - Senegal
Pape Gueye,SEN13,Senegal,SEN,13,SEN13 Pape Gueye - Senegal
Cheikhou Kouyaté,SEN14,Senegal,SEN,14,SEN14 Cheikhou Kouyaté - Senegal
Nampalys Mendy,SEN15,Senegal,SEN,15,SEN15 Nampalys Mendy - Senegal
Boulaye Dia,SEN16,Senegal,SEN,16,SEN16 Boulaye Dia - Senegal
Famara Diédhiou,SEN17,Senegal,SEN,17,SEN17 Famara Diédhiou - Senegal
Bamba Dieng,SEN18,Senegal,SEN,18,SEN18 Bamba Dieng - Senegal
Sadio Mané,SEN19,Senegal,SEN,19,SEN19 Sadio Mané - Senegal
Ismaïla Sarr,SEN20,Senegal,SEN,20,SEN20 Ismaïla Sarr - Senegal
Predrag Rajković,SRB3,Serbia,SRB,3,SRB3 Predrag Rajković - Serbia
Vanja Milinković-Savić,SRB4,Serbia,SRB,4,SRB4 Vanja Milinković-Savić - Serbia
Nikola Milenković,SRB5,Serbia,SRB,5,SRB5 Nikola Milenković - Serbia
Strahinja Pavlović,SRB6,Serbia,SRB,6,SRB6 Strahinja Pavlović - Serbia
Miloš Veljković,SRB7,Serbia,SRB,7,SRB7 Miloš Veljković - Serbia
Filip Đuričić,SRB8,Serbia,SRB,8,SRB8 Filip Đuričić - Serbia
Nemanja Gudelj,SRB9,Serbia,SRB,9,SRB9 Nemanja Gudelj - Serbia
Filip Kostić,SRB10,Serbia,SRB,10,SRB10 Filip Kostić - Serbia
