player_name,player_id
Christian Eriksen,261962
Christian Norgaard,261962
Pierre-Emile Hojbjerg,261962
Martin Braithwaite,261962
Andreas Cornelius,261962
Kasper Dolberg,261962
Mikkel Damsgaard,261962
Jonas Wind,261962
Jesper Lindstrom,261962
Aymen Dahmen,261962
Mouez Hassen,261962
Balbouli,261962
Bechir Ben Saïd,261962
Bilel Ifa,261962
Montassar Talbi,261962
Dylan Bronn,261962
Nader Ghandri,261962
Ali Maaloul,261962
Ellyes Skhiri,261962
Aissa Laidouni,261962
Ferjani Sassi,261962
Ghailene Chaalali,261962
Mohamed Ali Ben Romdhane,261962
Seifeddine Jaziri,261962
Taha Yassine Khenissi,261962
Youssef Msakni,261962
Manuel Neuer,261962
Thilo Kehrer,261962
Lukas Klostermann,261962
Armel Bella-Kotchap,261962
Joshua Kimmich,261962
Leon Goretzka,261962
Kai Havertz,261962
Leroy Sane,261962
Serge Gnabry,261962
Karim Adeyemi,261962
Youssoufa Moukoko,261962
Keylor Navas,261962
Esteban Alvarado,261962
Patrick Sequeira,261962
Bryan Oviedo,261962
Oscar Duarte,261962
Kendall Waston,261962
Ronald Matarrita,261962
Keysher Fuller,261962
Juan Pablo Vargas,261962
Carlos Martinez,261962
Celso Borges,261962
Bryan Ruiz,261962
Yeltsin Tejeda,261962
Gerson Torres,261962
Jewison Bennette,261962
Daniel Chacon,261962
Youstin Salas,261962
Roan Wilson,261962
Brandon Aguilera,261962
Douglas Lopez,261962
Anthony Hernandez,261962
Alvaro Zamora,261962
Joel Campbell,261962
Johan Venegas,261962
Anthony Contreras,261962
Simon Mignolet,261962
Arthur Theate,261962
Yannick Carrasco,261962
Michy Batshuayi,261962
Lois Openda,261962
Romelu Lukaku,261962
Andre Onana,261962
Davis Epassy,261962
Simon Ngapandouetnbu,261962
Collins Fai,261962
Olivier Mbaizo,261962
Jean Charles Castelletto,261962
Christopher Wooh,261962
Olivier Ntcham,261962
Gael Ondoua,261962
Pierre Kunde,261962
Samuel Gouet,261962
Andre-Frank Zambo Anguissa,261962
Jerome Ngom,261962
Moumi Ngamaleu,261962
Christian Bassogog,261962
Georges-Kevin Nkoudou,261962
Vincent Aboubakar,261962
Karl Toko Ekambi,261962
Eric Maxim Choupo-Moting,261962
Souaibou Marou,261962
Strahinja Erakovic,261962
Srdan Babic,261962
Aleksandr Mitrovic,261962
Filip Duricic,261962
Manaf Nurudeen,261962
Danlad Ibrahim,261962
Mohammed Salisu,261962
Abdul-Rahman Baba,261962
Andre Ayew,261962
Daniel Kofi Kyereh,261962
Daniel Barnieh Afriyie,261962
Issahaku Abdul Fatawu,261962
Jordan Ayew,261962
Fernando Muslera,261962
Sergio Rochet,261962
Sebastian Sosa,261962
Ronald Araujo,261962
Martin Caceres,261962
Sebastian Coates,261962
Jose Maria Gimenez,261962
Diego Godin,261962
Mathias Olivera,261962
Jose Luis Rodriguez,261962
Guillermo Varela,261962
Matias Vecino,261962
Nicolás de la Cruz,261962
Rodrigo Bentancur,261962
Federico Valverde,261962
Giorgian de Arrascaeta,261962
Lucas Torreira,261962
Facundo Torres,261962
Manuel Ugarte,261962
Luis Suarez,261962
Edinson Cavani,261962
Maxi Gomez,261962
Darwin Nunez,261962
Facundo Pellistri,261962
Agustin Canobbio,261962
James Paternis,261962
Alistair Johnson,261962
Sam Adekugbe,261962
Kamal Miller,261962
Richie Laryea,261962
Lucas Cavallini,261962
Junior Hoilett,261962
Cyle Larin,261962
Alphonso Davies,261962
Jonathan David,261962
Liam Millar,261962
Ike Ugbo,261962
